ID,splitsample,right_VT,split_trials,split_video,FS1a,epistemic,epistemic_1,epistemic_4,epistemic_5,epistemic_6,epistemic_9,epistemic_10,FS2_1,FS2_2,FS2_3,FS2_4,FS2_5,FS2_6,FS2_7,FS2_8,FS2_9,FS2_10,FS2_11,FS2_12,FS2_13,FS2_14,brexdentity,NFC,NFC_1,NFC_2,NFC_3,NFC_4,NFC_5,NFC_6,NFC_7,NFC_8,CRT1,CRT2,CRT3,AOT17,AOT17_1,AOT17_2,AOT17_3,AOT17_4,AOT17_5,AOT17_6,AOT17_7,AOT17_8,AOT17_9,AOT17_10,AOT17_11,AOT17_12,AOT17_13,AOT17_14,AOT17_15,AOT17_16,AOT17_17,remain_identity_strength,remain_identity_strength_1,remain_identity_strength_4,remain_identity_strength_5,leave_identity_strength,leave_identity_strength_1,leave_identity_strength_4,leave_identity_strength_5,partisanvideo,controlvideo,partisan_brex_thermometer,t1_1,t1_2,scapegoating_leave_reaction,scapegoating_leave_sharing,scapegoating_leave_sharing_1,scapegoating_leave_click,scapegoating_leave_click_1,scapegoating_remain_reaction,scapegoating_remain_sharing,scapegoating_remain_sharing_1,scapegoating_remain_click,scapegoating_remain_click_1,scape_control_leave_reaction,scape_control_leave_sharing,scape_control_leave_sharing_1,scape_control_leave_click,scape_control_leave_click_1,scape_control_remain_reaction,scape_control_remain_sharing,scape_control_remain_sharing_1,scape_control_remain_click,scape_control_remain_click_1,adhominem_leave_reaction,adhominem_leave_sharing,adhominem_leave_sharing_1,adhominem_leave_click,adhominem_leave_click_1,adhominem_remain_reaction,adhominem_remain_sharing,adhominem_remain_sharing_1,adhominem_remain_click,adhominem_remain_click_1,adhom_control_leave_reaction,adhom_control_leave_sharing,adhom_control_leave_sharing_1,adhom_control_leave_click,adhom_control_leave_click_1,adhom_control_remain_reaction,adhom_control_remain_sharing,adhom_control_remain_sharing_1,adhom_control_remain_click,adhom_control_remain_click_1,emotional_leave_reaction,emotional_leave_sharing,emotional_leave_sharing_1,emotional_leave_click,emotional_leave_click_1,emotional_remain_reaction,emotional_remain_sharing,emotional_remain_sharing_1,emotional_remain_click,emotional_remain_click_1,emotional_control_leave_reaction,emotional_control_leave_sharing,emotional_control_leave_sharing_1,emotional_control_leave_click,emotional_control_leave_click_1,emotional_control_remain_reaction,emotional_control_remain_sharing,emotional_control_remain_sharing_1,emotional_control_remain_click,emotional_control_remain_click_1,age,profile_gender
1,6,1,1,1,5,1,4,4,1,3,4,5,2,1,1,2,1,2,1,2,1,1,2,2,2,2,1,1,1,2,1,4,1,1,1,7,0.1,100,24,1,3,4,3,5,97,97,1,4,5,4,5,6,6,5,97,1,4,9,999,999,999,1,3,3,3,1,-9,1,50,999,8,1,1,1,1,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,73,1
2,6,1,3,1,5,1,5,4,3,1,4,4,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,5,4,7,1,1,7,0.1,100,24,1,3,97,5,5,6,4,5,4,5,4,5,5,6,4,6,1,5,9,999,999,999,1,3,4,4,1,-9,1,4,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,1,1,1,1,1,99,9,999,9,999,3,1,9,1,10,99,9,999,9,999,69,1
3,2,1,3,2,5,1,4,3,2,1,5,5,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,1,1,7,0.05,5,47,1,2,97,97,2,1,2,1,2,1,6,5,5,6,2,2,2,3,9,999,999,999,1,2,4,5,-9,1,1,1,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,2,1,3,99,9,999,9,999,8,1,1,1,2,99,9,999,9,999,45,1
4,2,1,3,1,3,1,3,4,1,1,5,5,2,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,5,7,2,1,6,0.1,20,47,1,1,5,3,2,1,2,2,1,2,6,6,5,6,5,3,3,5,9,999,999,999,1,4,4,3,1,-9,1,50,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,3,1,1,1,7,99,9,999,9,999,7,1,3,1,10,99,9,999,9,999,54,1
5,5,1,1,2,1,1,3,3,5,5,5,5,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,7,7,7,7,3,1,7,0.1,100,47,1,1,97,1,3,1,1,1,1,1,6,6,6,6,5,3,2,6,9,999,999,999,1,4,4,4,-9,1,1,39,999,3,1,6,1,7,99,9,999,9,999,5,1,6,1,7,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,52,1
6,2,1,3,2,5,1,4,4,4,2,3,3,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,2,5,5,1,6,0.05,100,47,1,3,4,97,4,3,3,3,4,4,4,4,4,4,4,3,3,97,9,999,999,999,1,99,4,99,-9,1,1,53,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,3,1,6,1,5,99,9,999,9,999,40,1
7,5,1,3,1,3,1,4,3,4,3,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,4,1,4,1,1,6,-7,-7,-7,1,5,4,4,3,3,3,1,4,5,6,4,1,4,6,6,4,5,9,999,999,999,1,99,99,99,1,-9,1,997,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,5,1,5,99,9,999,9,999,8,1,5,1,5,99,9,999,9,999,43,2
8,5,1,3,1,5,1,3,3,4,4,1,5,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,4,1,7,0.1,5,47,1,2,3,2,2,1,4,2,2,2,5,5,5,6,5,2,2,3,9,999,999,999,1,4,4,3,1,-9,1,52,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,3,1,2,1,9,99,9,999,9,999,3,1,6,1,9,99,9,999,9,999,73,2
9,3,1,1,2,4,1,4,4,4,4,4,2,2,1,1,2,1,1,2,1,1,1,2,2,2,2,1,1,1,1,3,3,6,5,1,5,0.1,100,24,1,4,4,5,4,3,1,3,3,4,4,3,3,5,4,4,4,5,9,999,999,999,1,4,3,3,-9,1,1,51,999,5,1,5,1,5,99,9,999,9,999,3,1,4,1,4,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,48,2
10,6,1,2,2,3,1,4,4,4,4,4,4,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,3,5,1,1,4,3,1,5,0.05,5,47,1,4,2,4,2,1,4,1,3,4,3,6,4,6,4,6,3,4,9,999,999,999,1,4,4,4,-9,1,1,32,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,3,1,6,1,6,99,9,999,9,999,3,1,1,1,5,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,65,1
11,1,1,2,2,3,1,3,4,1,1,5,4,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,7,0.05,100,47,1,97,3,1,2,1,2,1,4,97,6,6,5,5,6,5,1,4,9,999,999,999,1,99,3,2,-9,1,1,50,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,2,1,3,1,9,99,9,999,9,999,8,1,8,1,10,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,70,1
12,6,1,1,2,5,1,4,4,2,2,5,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,7,1,1,7,0.1,20,24,1,2,6,2,6,6,2,1,3,3,4,6,5,6,4,5,2,5,9,999,999,999,1,4,4,4,-9,1,1,4,999,1,1,1,1,1,99,9,999,9,999,4,1,7,1,3,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,76,2
13,1,1,2,1,4,1,3,4,2,2,4,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,3,6,3,2,3,2,3,5,0.1,5,47,1,4,2,2,3,2,3,2,97,4,4,5,4,4,4,2,4,2,9,999,999,999,1,3,4,4,1,-9,1,62,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,2,1,5,99,9,999,9,999,8,1,2,1,6,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,41,1
14,2,1,3,1,1,1,2,3,4,4,5,5,1,1,1,2,1,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2,1,1,7,0.05,5,47,1,97,6,6,5,1,2,1,1,97,5,6,4,6,4,2,1,2,9,999,999,999,1,3,4,3,1,-9,1,75,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,3,1,4,1,4,99,9,999,9,999,47,1
15,1,1,1,2,4,1,4,4,5,5,3,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,7,5,5,7,6,2,7,0.05,5,47,1,2,97,2,1,1,2,1,5,3,5,5,5,6,2,4,1,4,9,999,999,999,1,3,3,3,-9,1,1,26,999,6,1,1,1,1,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,67,1
