participant_id,treatment,ShareDerog1,ShareDerog2,ShareDerog3,ShareIssue1,ShareIssue2,ShareIssue3,democrat_therm_1,republican_therm_1,general_trust,institutional_corruption,institutional_response,vote_importance,pride,fair_treatment,norm_judges,norm_judges_perception,norm_polling,norm_polling_perception,norm_executive,norm_executive_perception,norm_censorship,norm_censorship_perception,norm_loyalty,norm_loyalty_perception,violence1,violence2,violence3,violence4,violence5,violence6,engagement_measure,birthyr,gender,race,hispanic,speakspanish,educ,marstat,employ,faminc_new,child18,pid3,pid7,presvote16post,presvote20post,inputstate,urbanicity2,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer
0,2,Neither likely nor unlikely,Unlikely,Likely,Neither likely nor unlikely,Very unlikely,Very unlikely,100.0,45.0,No,Equally likely to refuse or accept,Equally likely to or unlikely,Very important,Very proud,Neither agree nor disagree,Neither agree nor disagree,70.0,Disagree,89.0,Strongly agree,79.0,Strongly disagree,70.0,Disagree,81.0,Strongly support,Oppose,nan,nan,nan,nan,Oregon,1954.0,Female,White,No,I can not speak Spanish,4-year,Married,Retired,"$20,000 - $29,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Oregon,Big city,Yes,Very liberal,Most of the time,Protestant,Seldom,Yes,Somewhat important,Several times a day
1,2,Unlikely,Neither likely nor unlikely,Unlikely,Neither likely nor unlikely,Unlikely,Unlikely,0.0,90.0,No,Likely to accept,Equally likely to or unlikely,Very important,Extremely proud,Disagree,Strongly disagree,75.0,Strongly disagree,81.0,Strongly disagree,26.0,Strongly disagree,26.0,Neither agree nor disagree,65.0,Strongly oppose,nan,nan,nan,nan,nan,Oregon,1942.0,Male,White,No,I can not speak Spanish,High school graduate,Married,Retired,"$70,000 - $79,999",No,Independent,Lean Republican,Donald Trump,Donald Trump,Arizona,Smaller city,Yes,Conservative,Most of the time,Roman Catholic,A few times a year,No,Not too important,A few times a week
2,2,Very likely,Very likely,Very likely,Very unlikely,Likely,Very likely,53.0,2.0,No,Equally likely to refuse or accept,Likely,Very important,Moderately proud,Disagree,Disagree,74.0,Strongly disagree,72.0,Strongly agree,74.0,Disagree,95.0,Strongly disagree,92.0,Oppose,nan,nan,nan,nan,nan,Oregon,1952.0,Male,Black,No,I can not speak Spanish,4-year,Married,Retired,"$120,000 - $149,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Florida,Suburban area,Yes,Liberal,Most of the time,Agnostic,Never,No,Not at all important,Never
3,2,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,7.0,83.0,No,Likely to accept,Equally likely to or unlikely,Very important,Moderately proud,Disagree,Neither agree nor disagree,80.0,Neither agree nor disagree,80.0,Neither agree nor disagree,80.0,Neither agree nor disagree,80.0,Neither agree nor disagree,80.0,Neither support nor oppose,nan,nan,nan,nan,nan,Florida,1969.0,Female,White,No,I can not speak Spanish,High school graduate,Married,Homemaker,Prefer not to say,No,Other,Lean Republican,Other,Donald Trump,Pennsylvania,Big city,Yes,Very conservative,Some of the time,Something else,Once a week,Yes,Very important,Several times a day
4,2,Likely,Likely,Likely,Likely,Likely,Likely,0.0,80.0,Yes,Equally likely to refuse or accept,Equally likely to or unlikely,Very important,Extremely proud,Strongly disagree,Strongly disagree,100.0,Neither agree nor disagree,100.0,Disagree,100.0,Strongly disagree,100.0,Disagree,100.0,Support,Oppose,nan,nan,nan,nan,Oregon,1955.0,Male,White,No,I can not speak Spanish,High school graduate,Married,Other,"$200,000 - $249,999",No,Independent,Lean Republican,Donald Trump,Donald Trump,Texas,Small town,Yes,Moderate,Most of the time,Roman Catholic,Seldom,No,Very important,A few times a week
5,1,Unlikely,Very unlikely,Likely,Neither likely nor unlikely,Neither likely nor unlikely,Likely,96.0,0.0,No,Likely to refuse,Extremely unlikely,Very important,Only a little proud,Agree,Disagree,67.0,Neither agree nor disagree,80.0,Agree,86.0,Strongly disagree,78.0,Strongly disagree,86.0,Support,Support,Oppose,nan,nan,nan,Oregon,1957.0,Male,Hispanic,Yes,I can not speak Spanish,High school graduate,Never married,Permanently disabled,Prefer not to say,No,Democrat,Strong Democrat,Did not vote for President,Joe Biden,California,Suburban area,Yes,Very liberal,Most of the time,Atheist,Never,No,Not at all important,Never
6,1,Likely,Unlikely,Very unlikely,Likely,Very unlikely,Unlikely,3.0,86.0,Yes,Likely to refuse,Equally likely to or unlikely,Very important,Extremely proud,Neither agree nor disagree,Strongly disagree,31.0,Strongly disagree,42.0,Disagree,91.0,Strongly disagree,3.0,Disagree,91.0,Support,Strongly support,Support,Strongly oppose,nan,nan,Oregon,1939.0,Male,White,No,I can not speak Spanish,Post-grad,Married,Retired,Prefer not to say,No,Republican,Strong Republican,Donald Trump,Donald Trump,Texas,Smaller city,Yes,Conservative,Most of the time,Agnostic,Never,No,Not at all important,Never
7,2,Likely,Likely,Likely,Unlikely,Neither likely nor unlikely,Very unlikely,90.0,20.0,No,Equally likely to refuse or accept,Unlikely,Very important,Moderately proud,Agree,Strongly disagree,45.0,Strongly disagree,70.0,Disagree,80.0,Strongly disagree,40.0,Strongly disagree,88.0,Oppose,nan,nan,nan,nan,nan,Oregon,1950.0,Male,White,No,I can not speak Spanish,High school graduate,Married,Retired,Prefer not to say,No,Independent,Lean Democrat,Hillary Clinton,Joe Biden,Utah,Suburban area,Yes,Liberal,Some of the time,Atheist,Never,No,Not at all important,Never
8,1,Very unlikely,Neither likely nor unlikely,Very unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,40.0,75.0,No,Equally likely to refuse or accept,Likely,Very important,Very proud,Disagree,Disagree,50.0,Disagree,50.0,Neither agree nor disagree,60.0,Disagree,60.0,Disagree,70.0,Neither support nor oppose,nan,nan,nan,nan,nan,Oregon,1951.0,Male,White,No,I can not speak Spanish,High school graduate,Married,Retired,"$40,000 - $49,999",No,Republican,Strong Republican,Donald Trump,Donald Trump,Washington,Rural area,Yes,Conservative,Most of the time,Protestant,Never,No,Not at all important,Never
9,1,Likely,Neither likely nor unlikely,Likely,Likely,Neither likely nor unlikely,Likely,1.0,0.0,No,Equally likely to refuse or accept,Equally likely to or unlikely,Important,Not at all proud,Disagree,Disagree,60.0,Disagree,70.0,Agree,90.0,Disagree,70.0,Disagree,70.0,Neither support nor oppose,nan,nan,nan,nan,nan,Washington,1957.0,Female,White,No,I can not speak Spanish,2-year,Never married,Unemployed,"$50,000 - $59,999",No,Independent,Independent,Jill Stein,Joe Biden,Texas,Suburban area,Yes,Very liberal,Most of the time,Nothing in particular,Never,No,Not at all important,A few times a month
