StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent Form,prolific_id,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,comp_check_control,Q14_First Click,Q14_Last Click,Q14_Page Submit,Q14_Click Count,comp_check_inocul,Q16_First Click,Q16_Last Click,Q16_Page Submit,Q16_Click Count,text,chatGPT,politic
12/09/2024 13:53,12/09/2024 14:02,IP Address,73.151.20.197,100,557,TRUE,12/09/2024 14:02,R_3Hogc7zOC1lHJo9,,,,,36.7405,-119.7508,anonymous,EN,I consent to my participation in the study,6679034939dfde473422dcd1,,,,,,31.529,102.174,126.131,7,Our differences pushing each other apart brought up by hatepushers who go online and are mean to other people and making our democracy divide.,5.615,311.569,377.591,13,"Some states have strict restrictions or even bans on abortion while some still continue to support it. This has led to significant legal and social discussions  with many people holding strong opinions on both sides of the debate. For me personally, I feel like deep down its wrong especially if it's being used as a form of birth control but in the situations of women being raped i feel like it would be okay in that context. I heard this saying why is it okay for women to abort when they don't feel ready to have a kid but when a man isn't ready he still has to step up and be a daad he has no choice.",No,Prefer not to answer
12/09/2024 13:56,12/09/2024 14:05,IP Address,140.150.169.214,100,544,TRUE,12/09/2024 14:05,R_372ucTyIC5CwskH,,,,,37.751,-97.822,anonymous,EN,I consent to my participation in the study,66aee9388a744c16be34c74f,,,,,,33.429,93.279,98.677,5,HOW POLITICS MAKES CREATE DIFFERENCES IN PEOPLE,22.339,89.843,391.41,4,"AS I AM POLITICALLY AFFILIATED TO CONSERVATIVES,ABORTION IS OFTEN VIEWED AS A SIGNIFICANT MORAL AND ETHICAL ISSUE.MANY CONSERVATIVES BELIEVE THAT LIFE BEGINS AT CONCEPTION AND THAT EVERY HUMAN LIFE HAS INHERENT VALUE AND RIGHTS.THEREFORE,THEY ARGUE THAT ABORTION,PARTICULARLY BEYOND CASES OF RAPE,INCEST,OR LIFE-THREATENING CONDITIONS,IS MORALLY WRONG AND SHOULD BE RESTRICTEC OR BANNED.LEGALLY,THIS PERSPECTIVE SUPPORTS STRONGER REGULATIONS OR OUTRIGHTS BANS ON ABORTION TO PROTECT WHAT THEY VIEW AS THE SANCITY OF LIFE,ADVOCATIING FOR POLICIES THAT PROMOTE ALTERNATIVES AND SUPPORT FOR PREGNANT WOMEN",No,Republican
12/09/2024 13:58,12/09/2024 14:09,IP Address,108.11.179.187,100,682,TRUE,12/09/2024 14:09,R_7QVbJZAwzNMSSs1,,,,,37.0578,-76.46,anonymous,EN,I consent to my participation in the study,66bd90a4cff947866ce04a33,4.779,97.276,184.103,5,"The video describes how Congress is structured, and how the House and Senate often block each other's bill proposals. ",,,,,,4.565,406.581,410.047,26,"In my opinion, abortion should be legal within the USA. It is a healthcare decision that a woman should make between herself, her doctor, and perhaps with some input from her partner. I personally think that life doesn't begin until a baby is born; after all, who remembers being in the womb? We should care about the well-being of the human being that already exists more than one that cannot substantiate itself yet. To be frank, it seems like the valuation of the embryo being higher than existing women is symbolic of how misogynistic our society is. 

Also, the overturning of Roe v. Wade was incredibly short-sighted and appalling. I sincerely hope that these protections become properly codified after the next election.",No,Democrat
12/09/2024 14:10,12/09/2024 14:15,IP Address,68.105.49.24,100,292,TRUE,12/09/2024 14:15,R_5G8b9ygHir11Khj,,,,,29.9481,-90.207,anonymous,EN,I consent to my participation in the study,662ac5849e0f931cc08e32b7,,,,,,65.87,96.569,116.484,3,It was about people that focus on our differences and drive us apart.,2.513,143.211,145.837,8,The right to abortion should be protected because there are so many women that are in situations where it is imperative for their well being and livelihood. No person has a right to condemn a woman to a life she does not choose or a situation that she cannot thrive in. For people that are against abortion they can choose for themselves not to have one but do not have any authority over someone else's choice. Especially since the people that insist that women carry children to term are not willing to take those babies in as their own or support women that are having them.,No,Independent
12/09/2024 14:14,12/09/2024 14:18,IP Address,47.12.241.252,100,256,TRUE,12/09/2024 14:18,R_6DZLOPdJV5qHX24,,,,,46.5586,-90.7388,anonymous,EN,I consent to my participation in the study,636719fd55675ab71c8d97fd,3.943,49.393,106.828,9,"It was about Congress, and the nuances of the house vs. the senate.",,,,,,1.148,1.148,129.12,1,"My view on abortion is rather straight forward. I believe that a woman should be able to decide whether or not they wish to continue their pregnancy before the fetus is scientifically viable. This can vary depending on your source, but that's more or less the abstract of my position. I believe it should be legal, and the fact that it's been so cut down and actively opposed is worrisome for the women of the society that imposes these standards. The legal status should be hands down LEGAL in these instances. I am ""pro-choice"". ",No,Democrat
12/09/2024 14:18,12/09/2024 14:24,IP Address,68.126.208.107,100,345,TRUE,12/09/2024 14:24,R_3tTevNK4DyKFoBz,,,,,42.9016,-88.0095,anonymous,EN,I consent to my participation in the study,66b7baea906f709f7ec5a850,,,,,,3.229,163.9,171.161,7,There is a huge political divide that are affecting families and friendships. Social Media has made it easier for those who want to spread hate against others.,1.833,118.379,137.722,6,"I wish they didn't overturn Roe vs Wade. They didn't understand nor care about those who need medical abortions. They don't care until it happens to them or one of their loved ones. I was raised prochoice, and I am thankful every day, I was raised this. It gives me empathy for those who have this procedure. The government has no right to say and do anything about my body. ",No,Democrat
12/09/2024 14:21,12/09/2024 14:25,IP Address,96.86.188.251,100,263,TRUE,12/09/2024 14:25,R_1dQmLWk42poV8YJ,,,,,38.0996,-122.5873,anonymous,EN,I consent to my participation in the study,5da46a3201beee00176bc836,88.948,88.948,115.418,1,The video was about how laws become laws and what happens if a law doesn't become law,,,,,,0.883,120.708,132.511,5,I believe that the only person that can say on what to do with your body is yourself. I believe women are the only people who can make a decision regarding their bodies. The government should not be able to control what people choose to do with their bodies. I believe abortion should be legal nationwide. Of course it should be allowed up to a certain point.,No,Democrat
12/09/2024 14:20,12/09/2024 14:25,IP Address,75.183.212.144,100,320,TRUE,12/09/2024 14:25,R_7N9tZvOjcrydrHL,,,,,35.9825,-78.5376,anonymous,EN,I consent to my participation in the study,663e4c000f13ed12bc94bc41,,,,,,2.995,102.746,123.588,16,Increasing political polarization that is being fueled by groups with an incentive to keep people divided.,1.014,148.191,177.066,8,"I am staunchly pro choice and believe in a woman's right to make decisions about her own body. The only person with the right to tell a woman what to do is herself. The government has no place when it comes to making healthcare decisions for individuals. Without access to safe and effective abortion care, more and more women will be endangered and potentially face life-changing consequences.",No,Democrat
12/09/2024 14:22,12/09/2024 14:25,IP Address,172.58.166.177,100,215,TRUE,12/09/2024 14:25,R_5rfymqghjfrXjny,,,,,41.9457,-87.7393,anonymous,EN,I consent to my participation in the study,605733fb52820cc2a723fea3,37.475,88.81,91.961,5,Laws are hide to pass because either side of the house are to blame.,,,,,,3.038,87.729,101.076,2,I think abortion is a choice that must be decided at the state level.  It is not up to the federal govermant to regulate it.  I'm not sure what I think about it personelly.                                                                                                                                                                                                                                                                                                   ,No,Republican
12/09/2024 14:16,12/09/2024 14:26,IP Address,47.201.76.37,100,599,TRUE,12/09/2024 14:26,R_7FafAnKGIIs0khL,,,,,27.9822,-81.6706,anonymous,EN,I consent to my participation in the study,66d22aa454e8a195ad475a15,,,,,,3.984,179.68,181.795,17,How the media constantly tries to push us to hate each other for our differences in opinions.,6.42,336.796,357.442,5,"When it comes to abortion, I feel that every woman should have the right to have control over her own body and decide if a pregnancy is something they want to pursue or not. I feel that abortions should always be allowed, especially in the first trimester when the fetus is not a “baby” who would live outside the womb yet. The government should not be imposing on such rights, especially since their basis is most always religious when there is supposed to be a division of church and state. The government should also not be imposing on the right for women to get abortions especially when they are unwilling to financially provide for those babies forced to be born (free school lunch, WIC, government assistance, etc). ",No,Independent
