StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent Form,prolific_id,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,comp_check_control,Q14_First Click,Q14_Last Click,Q14_Page Submit,Q14_Click Count,comp_check_inocul,Q16_First Click,Q16_Last Click,Q16_Page Submit,Q16_Click Count,text,politic
05/08/2024 5:42,05/08/2024 5:50,IP Address,174.110.112.38,100,475,TRUE,05/08/2024 5:50,R_125SPnyXa78N5Du,,,,,34.2243,-77.8849,anonymous,EN,I consent to my participation in the study,66267790819686f57c25e28c,87.248,87.248,133.209,1,The video talked about the two parties that make up congress and why it seems that new bills never get passed.,,,,,,2.069,240.627,309.583,23,I do believe abortion should be legal in every state. It is that individuals right to choose whether to keep or terminate their pregnancy. We should not have a say in what that person does with their own body. Furthermore it should be more safe for that person to feel comfortable going to a clinic without fear of being judges or harassed. Those who protest the right for them to choose are simply blind to the fact that the world is evolving around them and fail to see the importance of making something such as abortion legal.,Independent
05/08/2024 5:49,05/08/2024 5:53,IP Address,174.49.184.247,100,226,TRUE,05/08/2024 5:53,R_5FgOGPVxuR7RtLF,,,,,40.3781,-76.4355,anonymous,EN,I consent to my participation in the study,63d162577b5966c2fb4cf57b,,,,,,6.17,87.99,92.225,5,Political polarization.,2.397,41.064,116.273,4,"I do not think the government should be involved with deciding this issue.  I personally am against abortion.  I do not believe taking a life is ever a correct thing to do.  I also think that there may be certain cases where a procedure is necessary to save a mother when a fetus is not viable.  Again, I don't thin the government needs to be involved in this or many other issues.",Independent
05/08/2024 5:48,05/08/2024 5:54,IP Address,45.158.195.115,100,386,TRUE,05/08/2024 5:54,R_5GCvBVuIEPimcpI,,,,,35.2916,-80.8201,anonymous,EN,I consent to my participation in the study,66ae0fddec5d62a8a4d37ede,,,,,,29.19,193.66,194.601,16,The video is about a certain group of people called the hate pushers who are trying to divide the people in the society for thier own personal gain and how we shouldn't let them win,0.016,133.008,134.088,5,"Abortion in the U.S. is a highly polarized issue that has seen dramatic shifts in recent years. Roe v. Wade, which was decided in 1973, once guaranteed a woman's right to choose an abortion. However, the Supreme Court overturned it in 2022 with Dobbs v. Jackson Women's Health Organization, which handed the power to regulate abortion back to the states. This has led to a confusing mix of state laws—some states have enacted strict bans, while others have upheld access. The debate touches on personal freedoms, health care, and ethical views, making it a complex and often heated topic.",Independent
05/08/2024 5:58,05/08/2024 6:05,IP Address,72.211.160.37,100,450,TRUE,05/08/2024 6:05,R_6eqdThfeYbBdCa5,,,,,33.2409,-111.7792,anonymous,EN,I consent to my participation in the study,6670b79e8456b0e5b1799c2f,11.162,11.162,105.963,1,"It is about congress, its components, how it works, and how it is important to understand how it works, and why it seems not to be working.",,,,,,1.919,307.698,308.723,6,"Abortion should be legal, safe, and accessible to all who need it. it should be performed in medical settings by qualified professionals. Abortion should not be limited to very few cases and should be accessible to all who need it and want it. It should not be controlled by congress or the government. Information about what it is, how it works, and why, should be shared so individuals seeking it can make an informed and knowledgable decision. ",Independent
05/08/2024 6:02,05/08/2024 6:07,IP Address,50.238.167.162,100,319,TRUE,05/08/2024 6:07,R_7VOMRgp2PdenhgT,,,,,38.0984,-78.4059,anonymous,EN,I consent to my participation in the study,614f4893a7f27d638ea5e58c,,,,,,100.327,122.325,130.396,2,"This video described techniques that ""hate pushers"" use to effectively pit people against each other.",1.818,66.161,169.853,2,"I think that abortion should be safe, legal, and rare.  And I think that any efforts to regulate it need to be tempered by some realities - There *will* be unwanted pregnancies.  There *will* be extra-marital sex.  There *will* be abnormal fetuses that nobody wants.  But I also think that Roe vs Wade was fundamentally flawed in its legal reasoning.  Abortion access should be just like any other important access.  It isn't a fundamental right, it is something that we should choose to protect with laws.",Independent
05/08/2024 6:00,05/08/2024 6:07,IP Address,104.230.137.202,100,437,TRUE,05/08/2024 6:08,R_1rxkhcCtLAPTY1k,,,,,38.1405,-85.6936,anonymous,EN,I consent to my participation in the study,66ae09b41fe460731834c749,,,,,,93.801,129.27,130.078,2,"The differences between groups of people. and online behavior.  
",1.729,124.606,229.622,4,"I am a firm believer in a woman's right to chose what she does with her body.  Some people believe it is a person in trouble, who wants to just get rid of their problems.  But all too often a woman has to make hard decisions.  The baby can be a hardship.  But also it could be medically necessary. 
I am over the age of childbirth, but it was always on the back of my mind that I would be something I might do if I had found my self in a situation of unwanted pregnancy.  I believe birth control is always the best solution.  I think adoption is also a good choice.  ",Democract
05/08/2024 6:01,05/08/2024 6:08,IP Address,73.2.211.99,100,433,TRUE,05/08/2024 6:08,R_6j1LOi1sgXcrzAO,,,,,31.3145,-89.3788,anonymous,EN,I consent to my participation in the study,5ff4df13509c7e47228fb5c5,1.37,129.815,175.555,15,Politics and the Senate and House of representatives and how laws are hard to pass,,,,,,1.993,161.115,242.848,3,I feel like abortion is a human right for all women. All women should be allowed the choice to have abortions without any political interference. Women should have the right to make their own decisions about their own bodies. No man should have a say about whether abortions should be allowed or restricted. I also believe that the roe v Wade should be reinstated and should have never been done away with. women should be able to have medical abortions in all situations.,Democract
05/08/2024 6:01,05/08/2024 6:10,IP Address,172.58.180.46,100,498,TRUE,05/08/2024 6:10,R_1H537zXOa1a9dQd,,,,,32.7797,-96.8022,anonymous,EN,I consent to my participation in the study,66ad825700cf93706b312800,3.03,88.2,128.393,2,The video was about Congress and why was designed that way.,,,,,,2.607,2.607,304.766,1,"Currently abortion is regulated by the individual states. I believe that is how it should be regulated because each individual state then decides for itself if abortion is something they want. I personally feel abortion should be illegal in almost all instances, and I live in a state (TX) that holds that same viewpoint. But, people living in other states may vote to allow abortion in varying circumstances. One reason for the individual state model is just this circumstance, to allow people of different ideologies to benefit from the overall protection of a ""United"" states, but to have widely different takes on things like abortion. While class differences may make it difficult for a person to relocate to a State that more closely matches their ideology, it is not impossible. ",Independent
05/08/2024 6:04,05/08/2024 6:14,IP Address,72.23.198.199,100,574,TRUE,05/08/2024 6:14,R_3lBPnSu57rF5ah3,,,,,39.78,-75.9856,anonymous,EN,I consent to my participation in the study,660ea5880e05bd83001a2888,,,,,,116.072,116.072,217.677,1,How the media is splitting the people in half. Driving people further apart by providing more details to attack people. For people to focus on similiarities not differences ,1.865,210.793,333.994,20,"It is a persons choice not the government. This is not federal case if anything it is handled by the state level. I believe it is a person choice to have a kid or not. A person should not have to carry a kid if they do not want to. This is a horrible mental status on a person which the government should not control. There are situations where person might be rapped or sexual harissed by family members where a child should not be born. Also if the pregnancy is a health hazard to the female, where the mother can die if they carry a child. This should be the decision of the party involved not the government. If the mother wants to take the risks, the other members should be ok in raising the child without hate due to mother dying. 
Again, this should be a person choice not the government choi",Republican
05/08/2024 6:08,05/08/2024 6:17,IP Address,69.246.104.6,100,552,TRUE,05/08/2024 6:17,R_52UN7tzcF1AW33X,,,,,31.308,-89.3064,anonymous,EN,I consent to my participation in the study,654a44f14e8b1c1546d9b83b,103.395,107.657,142.205,3,The video explained the process to create a new law.,,,,,,2.124,321.997,323.765,6,"This is the only subject that I am far left about.  I wish your video had explained how the supreme court can decide they don't like a law so, just like that, it's changed.  They need to watch this video for a refresher course on how democracy works.  
NO one should have the right to tell me what to do with my body.  NO ONE.  I'm 66 years old and I was lucky enough to have a planned parenthood available to me when I was 16.  I don't know if my grand daughter will have this same opportunity.  This ""right"" shouldn't even be up for discussion.  Abortion is a woman only topic - it's nuts to have men involved at all!!",Democract
