StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent Form,prolific_id,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,comp_check_control,Q14_First Click,Q14_Last Click,Q14_Page Submit,Q14_Click Count,comp_check_inocul,Q16_First Click,Q16_Last Click,Q16_Page Submit,Q16_Click Count,text,chatGPT,politic
15/08/2024 5:57,15/08/2024 6:02,IP Address,73.73.209.156,100,346,TRUE,15/08/2024 6:02,R_6VGQVWZTc9sVsIx,,,,,41.6142,-87.5515,anonymous,EN,I consent to my participation in the study,5fee6bfd99e7cf16b867b447,3.342,100.023,126.176,4,This video explains the process of passing laws and the effects of them.,,,,,,1.68,97.111,202.59,8,"People with this mindset should be more focused on prison reform or keeping their neighborhoods safe. The only time people care about the Bible is when it gets in the way of a man having his way. Everyone's a Christian until the topic of fornication comes up. Men have no right to speak on what a woman should do with a seed. Men claim that it's their biological instinct to breed all the while shaming women in the process. How does that make sense? It's a woman's birthright to be a mother but she's also a wh*re for it? If a woman posted this, I feel bad for her. Misogyny doesn't work in her favor enough to believe this. She's either feeling guilty or heavily misguided. Women have no reason to care about bloodlines and there's not enough money for the adults in the world as is.",No,Independent
15/08/2024 5:59,15/08/2024 6:09,IP Address,172.125.53.173,100,564,TRUE,15/08/2024 6:09,R_3dmZXtHPqjTGcwk,,,,,32.7147,-79.9526,anonymous,EN,I consent to my participation in the study,6661e51617d6ba3ac68f11d1,,,,,,99.889,99.889,142.374,1,This video describes tactics used online to create political and personal division while targeting a group or belief. ,1.503,382.844,399.086,4,"Many people have differing opinions about the stage at which a fetus is considered ""living,"" therefore the comparison of abortion to murder is based on the author's own personal belief system. The US is often referred to as a melting pot. There are many different cultures, backgrounds, and belief systems. This is why the separation of state and religion should be in place, so that we may avoid biases. I believe we should defer issues that necessitate a scientific response to the scientific and medical communities. Or at least keep the decision at a personal level for a mother. There are instances in which abortions can save the mother's life. Who are we to decide who lives and who dies?",No,Republican
15/08/2024 6:01,15/08/2024 6:09,IP Address,71.179.176.77,100,502,TRUE,15/08/2024 6:09,R_76nDZ7FMHrfsf6M,,,,,39.3709,-76.8003,anonymous,EN,I consent to my participation in the study,66117ba0fbec411fb9afd2ab,90.218,90.218,104.99,1,This video was about the role that congress plays in getting bills passed.,,,,,,14.702,362.92,363.657,17,"While I understand this position on abortion, I disagree with the post. I wholeheartedly believe that the decision to get an abortion should be a woman's and hers only. I do think that abortion is ending a life before it starts, however, this is distinctly different from murder. Murder is a legal term and if a woman lawfully gets an abortion then no law was broken hence, no murder was committed. It should also be noted that just because abortion is legal you still reserve the right to your opinion. If you are pro-life then don't get an abortion. It should be that simple. Conversely, if you are a pro-choice woman then the decision should not be interfered with by government mandate. This is a decision that should not be made lightly, however.",No,Independent
15/08/2024 6:08,15/08/2024 6:12,IP Address,67.209.30.211,100,258,TRUE,15/08/2024 6:12,R_1vYnHj8Q9Mm338d,,,,,34.2644,-78.0591,anonymous,EN,I consent to my participation in the study,6111952b6082d8d5f175138d,12.217,21.582,91.536,2,"what is congress, passing bills & laws",,,,,,1.101,114.87,144.847,11,"This is an extremely narrow take on a very broad and complex topic. It's harmful to eliminate the many nuances associated with abortion to simplify to these terms, when we all very well know that is not true or encompassing of many situations. People get abortions for a large number of reasons, and while one of those is an unwanted pregnancy, there are lots of other circumstances that lead someone to the place of needing to make that really tough decision. It's very easy to throw stones form inside a glass house.",No,Democrat
15/08/2024 6:11,15/08/2024 6:18,IP Address,24.192.44.97,100,408,TRUE,15/08/2024 6:18,R_1PFRskTIr1D9nXs,,,,,42.5901,-82.8214,anonymous,EN,I consent to my participation in the study,661ee735d1619c1f872b98f6,6.294,109.951,113.362,4,THe video was about how bills get introduced and passed in Congress.,,,,,,10.417,187.615,270.042,2,"Sometimes abortions are medically necessary to prevent complications due to pregnancy. I believe that every person has the right to choose whether or not they wish to carry a child. I don't understand being so upset about something that has virtually no effect on the individual who is upset. Regardless of the reasons for abortion, I do not believe that it should be up to the government to determine its legality.",No,Independent
15/08/2024 6:10,15/08/2024 6:18,IP Address,47.33.71.5,100,463,TRUE,15/08/2024 6:18,R_31BDmGfoySbtiF6,,,,,33.8681,-118.1831,anonymous,EN,I consent to my participation in the study,6670d19d8b520bc2484e5a85,,,,,,90.55,90.55,138.828,1,"It was about how people or entities on the internet use divisive and personal language to further drive groups apart and sow more division, wider gaps that are harder to bridge.",6.237,283.13,285.192,8,"Abortion is a necessary healthcare tool. Birth control methods don't always work, or people can be victims of rape. Abortion is necessary to end pregnancies that are not viable and can cause harm or death to the mother. In some cases, if these non-viable pregnancies are not ended soon enough, the mother will be unable to have children in the future. No one takes the decision to have an abortion lightly, plenty of mothers have to abort children for health reasons even if the pregnancy was wanted. Abortions are performed early in the gestation cycle when the fetus is not very developed, oftentimes just a clump of cells that does not resemble anything you would even recognize as human. Abortions need to remain legal in the USA and around the world.",No,Democrat
15/08/2024 6:13,15/08/2024 6:20,IP Address,100.6.47.135,100,396,TRUE,15/08/2024 6:20,R_5nrDaSVB20ePqiI,,,,,40.3437,-80.1252,anonymous,EN,I consent to my participation in the study,63d7c1f187a0f50e7e150f6a,4.229,83.441,90.857,6,What is congress is and how it works in the United States. ,,,,,,1.222,200.892,284.316,6,"Are you going to care for the kid? Carry it to term? Birth it? Do anything other than cause aggitation and spread resentment and hatred online. Gross. We can end abortion by creating great social programs and have the nation adequately fund them. We can end abortion by prosecuting rapists. We can end abortion by promoting healthy sex ed in schools. But you won't look into those programs. You won't figure out how to fund those programs, petition for their creation, actually do something other than post an inflamatory comment online. ",No,Democrat
15/08/2024 6:11,15/08/2024 6:21,IP Address,204.111.44.211,100,580,TRUE,15/08/2024 6:21,R_3NBOakBVtgGpnIw,,,,,40.0794,-76.3141,anonymous,EN,I consent to my participation in the study,652e8ba76fd669377040d788,,,,,,10.276,102.801,141.454,5,It was about diviseness all over the world and specific communication technics to drive groups of people apart.,10.221,234.303,399.535,7,"I disagree with most of this post. Human life does not start at fertilization.  Abortion can save lives of women and prevent the nistreatment of children who would be born either unwanted or to parents who are not competent to raise them. I have observed many organizations which are ""pro-brith,"" but not supportive of what itr takes to raise a human.  I agree with the spirit that I sense about sex and its consequernces: contraceptive education and access to those contraceptives should be easily available to everyone, ""no excuses.""",No,Democrat
15/08/2024 6:15,15/08/2024 6:21,IP Address,71.199.42.222,100,403,TRUE,15/08/2024 6:21,R_7zBDAP9QCyeV3d0,,,,,40.8792,-111.8686,anonymous,EN,I consent to my participation in the study,666a08fa06def34a1331e4f4,,,,,,81.133,81.133,118.538,1,the video was about division and people actively trying to drive us apart,4.537,205.495,257.213,22,"Abortion is a viable option for those that need it, do i personally agree with it? no. but i understand for many people why having a child could be so detrimental. in the current world we live in its a struggle to take care of yourself let a alone child. Regardless im always for freedom of choice. especially in big life changing situations such as having a child. I hope it stays a viable option in most places ",No,Independent
15/08/2024 6:14,15/08/2024 6:22,IP Address,45.18.118.198,100,475,TRUE,15/08/2024 6:22,R_3a18kqlieRlMUx3,,,,,32.3974,-93.8052,anonymous,EN,I consent to my participation in the study,664cf81358f925d94ba94474,,,,,,1.386,120.168,170.009,4,"The video was about propaganda in a way, how certain mis information and the fast spread off it can prompt people to have opinions that are passionate which in turn causes a drift and pushes both parties politically against each other including family.",10.155,200.181,270.072,14,"Abortion is not murder, abortion is the right to save your own life due to compromising pregnancy, abortion is the right to terminate a pregnancy that was against your will. Abortion allows the women in our country to walk away from decisions that will harm out bodies, risk death and decisions that where literally and physically forced upon us. In my opinion abortion should be legal federally, not up to the states, since it is a medical decision and one that the republicans have made out to seem as ""first stop birth control"" Whether a woman even wants to terminate a pregnancy due to just not financially stable or just not wanting the baby is completely up to her, men have the opportunity to step out on these kids but women don't there is no choice for her. She has to grow it for 9 months. ",No,Independent
