StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent Form,prolific_id,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,comp_check_control,Q14_First Click,Q14_Last Click,Q14_Page Submit,Q14_Click Count,comp_check_inocul,Q16_First Click,Q16_Last Click,Q16_Page Submit,Q16_Click Count,text,chatGPT,politic
12/09/2024 14:12,12/09/2024 14:18,IP Address,173.72.151.201,100,358,TRUE,12/09/2024 14:18,R_7kLkRtOQFpCBRJl,,,,,39.0448,-77.6042,anonymous,EN,I consent to my participation in the study,58810bc97b21a60001758c8b,,,,,,8.363,109.178,137.832,4,That hate pushers manipulate us and we should focus on our similarities not our differences.,4.642,150.44,183.875,4,"I believe abortion should be outlawed completely in the US.  It is murder of innocent children.  It doesn't matter what you call it or what positive name you try to give it, it is murder, not health rights.  And the crazy thing is that is most cases pregnancy can be avoided with simple birth control.  It's just people wanting to murder for their convenience instead of taking responsibility.  ",No,Republican
12/09/2024 14:13,12/09/2024 14:21,IP Address,73.121.242.223,100,492,TRUE,12/09/2024 14:21,R_3VR3hnllUabdFGy,,,,,36.0627,-83.6579,anonymous,EN,I consent to my participation in the study,669944abd241130ebdb0fcd0,2.344,139.36,142.619,7,The4 video discussed the general process o4f passing a law in the country and how it can be difficult to do so because of the different groups which all must approve it.,,,,,,4.108,321.817,322.702,11,"I don't believe abortion should be legal in most scenarios. With few exceptions, the killing of a child for personal reasons should not be allowed. People who find themselves in those situations generally did so by choice, and it are those consequences they must deal with. In cases without consent, such as rape, an argument could be effectively made, however. Those were actions beyond the victim's control, and as such they should not be burdened with the responsibility if they do not desire to take it on. Many cases I see are simply people indulging in sexual activity and wishing to cleanse their ""mistakes."" The solution is simply not partaking unless they are prepared for the consequences instead of taking the newly formed life of an innocent child yet to be born.",No,Republican
12/09/2024 14:32,12/09/2024 14:39,IP Address,165.225.62.133,100,431,TRUE,12/09/2024 14:39,R_6tbciuply57R0x1,,,,,41.8874,-87.6318,anonymous,EN,I consent to my participation in the study,5ca8ffbec942ab0016cfe9d2,,,,,,56.554,56.554,106.239,1,Hate-pushers use many tactics to divide people and drive polarization in our societies.,3.2,226.415,303.271,19,"Abortion is the deliberate killing of a human inside his or her mother's womb prior to moment of birth of the human being.  Abortion is therefore the murder of an innocent human being and should in all circumstances be illegal.  Although abortion activists try to make the case for the need for so-called ""safe and legal"" abortions, there is no medical reason to ever take the life of an infant, even to to save the life of the most of that child.  The reality is that in almost every situation, even if the mother's life is at risk during pregnancy, the only acceptable course of action is to make every effort to safe the life of both the mother and the child.",No,Republican
12/09/2024 14:36,12/09/2024 14:45,IP Address,67.186.118.38,100,531,TRUE,12/09/2024 14:45,R_5BLiz6qNSkc2LQd,,,,,41.7057,-88.1946,anonymous,EN,I consent to my participation in the study,558d8d71fdf99b534f79b352,98.571,98.937,233.186,2,"The video was can be summed into three topics: how laws are passed within the Congress, the system that was established that makes laws difficult to pass, and who is to blame for no laws to pass.",,,,,,1.7,100.688,268.755,2,"Overall, I'm tend to slightly lean against abortion. That is I'll support the usage of abortion only for specific use cases, such as when pregnancy is forced on someone or when it has the possibility of risking the well-being of someone.  Such as with the case of rape and dangers to the mother.  I won't support the usage of abortion for anything done with consent or as a type of escape for poor preparations during sex. ",No,Republican
12/09/2024 14:35,12/09/2024 14:48,IP Address,104.166.212.211,100,788,TRUE,12/09/2024 14:48,R_1jBe7qbUMoAZj6w,,,,,38.5669,-92.2543,anonymous,EN,I consent to my participation in the study,65c124f50d9f69bff3c15313,,,,,,51.357,155.978,193.374,5,Don't judge people and everyone opinions count,5.929,468.259,554.625,14,Abortion is a very controversial topic now in the US. With most people prolife and and other people we should have power over what we want to do with our body either to end a life. There are many reasons why I can be for abortion and many reasons why i can go against abortion. If not life threatening i will advise against abortion. If not a lady was raped and got pregnant in the process i will advise against abortion. As a christian abortion is a sin. If you are not ready for the consequences why take part in an unprotected sex. We know the biology when two partners engage in sex the lady gets pregnant. then why should the innocent baby suffer for your act when there are millions way to even stop this from happening in the first place than having to cut and flush an innocent baby in aborti,No,Republican
12/09/2024 14:44,12/09/2024 14:52,IP Address,108.175.181.254,100,445,TRUE,12/09/2024 14:52,R_1kAHAYBSqkZkuEW,,,,,35.3991,-80.5584,anonymous,EN,I consent to my participation in the study,65f362ffea415d878f1f4f1d,112.039,121.604,138.184,5,How bills are created and passed and what Congress is made up of.,,,,,,4.631,4.631,237.287,1,"The overturning of Roe vs Wade was the correct thing to do. It never should have passed. As per how our country was set up, it should be up to each state. I think it's absolutely tragic that in 2024 women want to use abortion as birth control. I certainly supports abortions in the case of rape and if a woman's life is in danger, but to casually kill babies because they don't want to be inconvenienced. The insinuation of the left is that women are incapable of being responsible.",No,Republican
12/09/2024 14:49,12/09/2024 14:55,IP Address,172.56.161.122,100,366,TRUE,12/09/2024 14:55,R_1BzEhyKaFwVqX4q,,,,,40.6764,-73.8753,anonymous,EN,I consent to my participation in the study,5c670a430d80fd00014264f9,91.449,109.655,111.24,4,The description of what the House and the Senate of Congress are.,,,,,,12.445,129.282,196.087,8,"It has to be a legal freedom. Bringing a person into tHis earth is only of importance if that act is willfully done. We can force women to become baby making machines by taking the choice to an abortion away from them. That would go against all the established values of freedom and justice that are the foundation of this nation. Therefore, abortion should be legalized and not considered the rights of an unborn fetus to the right of a person that needs to have their freedoms respected.",No,Independent
12/09/2024 14:48,12/09/2024 14:56,IP Address,35.145.233.194,100,469,TRUE,12/09/2024 14:56,R_6rwfQ5Wsm6O9SAw,,,,,28.1131,-81.6241,anonymous,EN,I consent to my participation in the study,63e52f8ab3688f45f842114c,,,,,,1.884,102.123,136.867,23,"The polarization that is going on in our world, and the people who try and further fuel the divide",6.264,312.332,312.928,13,"I am pro-life, but I realize that this topic has a broad range intricacies. While I do not agree with abortion, and how easy it is to access it. I also realize that making it harder for women to get abortions, can lead to serious dangers if they seek to have abortions by shady individuals. This topic will continue to he one that causes great polarization, and alot of  vitriol will come from it. I believe that the life of an unborn child should be protected and prioritized. ",No,Independent
12/09/2024 14:50,12/09/2024 14:56,IP Address,73.113.155.123,100,362,TRUE,12/09/2024 14:56,R_7HkjJTaxwmchA4P,,,,,35.974,-83.6222,anonymous,EN,I consent to my participation in the study,5c6480b5f9b6300001c9d52c,94.878,94.878,134.442,1,How the house and senate work to pass bills.,,,,,,3.105,195.847,198.257,11,"Abortion should only be legal in certain situations. For example rape, or if the womans health is at stake. It should not be used as a form of birth control. A state has the option to get its people to vote on abortion, just like its supposed to be. To many women get riled up not understanding the laws, And that is the blame of the government for lying to the people just to garner more votes.",No,Republican
12/09/2024 14:50,12/09/2024 14:56,IP Address,172.58.135.170,100,386,TRUE,12/09/2024 14:56,R_1IXcOsxSlYRUeFr,,,,,25.9289,-80.1827,anonymous,EN,I consent to my participation in the study,66dcc40c507f838549e3e6a4,,,,,,3.588,110.66,112.355,64,respect others with their differences,6.136,218.959,219.408,23,"We completed the investment visa process, which took 3 years. We traveled as a family, consisting of 4 people. The parents and two children. It was a long and tiring process. It was very stressful, but we were very happy to have achieved it. 
No soy un favor del aborto.  la vida existe desde el momento de la concepcion y salvo casos muy especiales seria un asesinati
",No,Prefer not to answer
