"ResponseId","affective_pol","stance_pls","TOXICITY","NUANCE_EXPERIMENTAL","REASONING_EXPERIMENTAL","RESPECT_EXPERIMENTAL"
"R_125SPnyXa78N5Du",0.530806074878037,-0.4009437935800944,0.1537979,0.7793761,0.77965313,0.7378816
"R_5FgOGPVxuR7RtLF",0.4956272506998369,-0.40079103465491334,0.031449065,0.70352477,0.6736296,0.8078011
"R_5GCvBVuIEPimcpI",0.5334951427759498,-0.45660874191385753,0.039462693,0.84722257,0.84600186,0.63947254
"R_6eqdThfeYbBdCa5",0.49332929265046216,-0.3347414772453121,0.044388983,0.6849934,0.74310714,0.64408094
"R_7VOMRgp2PdenhgT",0.5450268845435537,-0.41642400735014473,0.21374844,0.77718806,0.8402985,0.79575056
"R_1rxkhcCtLAPTY1k",0.5123380153756264,-0.40553345612048314,0.040183347,0.8536842,0.81111443,0.7811269
"R_6j1LOi1sgXcrzAO",0.557305312418886,-0.443054473626648,0.05651112,0.5528027,0.6035064,0.7078785
"R_1H537zXOa1a9dQd",0.5295587263935155,-0.38103153786025146,0.06025757,0.9036656,0.9253017,0.8545619
"R_3lBPnSu57rF5ah3",0.5131954791649254,-0.3385241326102014,0.24282593,0.87423044,0.78211075,0.6548995
"R_52UN7tzcF1AW33X",0.5355811766534669,-0.44270855954033456,0.09741997,0.7290082,0.6324407,0.7770488
"R_6VDnLuPCuFNL56h",0.5399177109182991,-0.2829837082502609,0.2854937,0.75456285,0.7209151,0.47185203
"R_33gzvxKUbk8c9tO",0.5498419464942731,-0.37458113627946293,0.15158679,0.5476406,0.69384307,0.70868313
"R_5m9p1GZuQQT4wc8",0.526248587246007,-0.4066642300186501,0.07845957,0.7766411,0.7335797,0.676808
"R_6HukUK2LX3tkJDH",0.5527309086985823,-0.3357365898080054,0.36043653,0.7378123,0.7457078,0.68471515
"R_3PIip51a3wJZMsF",0.5176794276795739,-0.39112625685573754,0.11398677,0.5641967,0.7272608,0.86498135
"R_5pgxUhkZrGfL7Ro",0.5416864410383087,-0.45489420457640817,0.04735767,0.83469164,0.8619196,0.69107187
"R_7WGezbAprIgzzIG",0.5458452263080216,-0.41154737098819044,0.18079062,0.75743836,0.7444082,0.65179896
"R_1VRoArydOTdsk93",0.5281911555689686,-0.3420415502809746,0.08004235,0.6924943,0.7272608,0.65179896
"R_54BEsP135Te1Scp",0.5352470122866314,-0.4022142328170706,0.102626406,0.8453275,0.8619196,0.8655913
"R_7yfKpUZw9yH4wp9",0.5387180618957544,-0.35068696464170124,0.25462922,0.75702757,0.802752,0.6689435
"R_3OpuEaj3o4mlYEV",0.5537328356406179,-0.40015917495811165,0.29039988,0.48173836,0.48049027,0.46750137
