"ResponseId","affective_pol","stance_pls","TOXICITY","NUANCE_EXPERIMENTAL","REASONING_EXPERIMENTAL","RESPECT_EXPERIMENTAL"
"R_3Hogc7zOC1lHJo9",0.5565192100143985,-0.3984965576816974,0.22043827,0.8711197,0.8516601,0.7322025
"R_372ucTyIC5CwskH",0.5656431875431083,-0.32246652658198616,0.20219094,0.29320386,0.3578712,0.7395898
"R_7QVbJZAwzNMSSs1",0.5583184502380274,-0.3659990276025146,0.15269235,0.8439711,0.7991433,0.8355754
"R_5G8b9ygHir11Khj",0.5219966357148581,-0.34576336194362056,0.102626406,0.79285264,0.774719,0.52614826
"R_6DZLOPdJV5qHX24",0.5353490184899518,-0.39391611931356885,0.08083374,0.8458695,0.8795844,0.6736572
"R_3tTevNK4DyKFoBz",0.569412873798039,-0.4948826784547556,0.063027434,0.705682,0.7131252,0.7339037
"R_1dQmLWk42poV8YJ",0.5132839115388003,-0.4457292709462563,0.11161,0.5148643,0.51408696,0.7118687
"R_7N9tZvOjcrydrHL",0.5288835133103337,-0.40634009774400975,0.04785245,0.5859622,0.66999924,0.8414791
"R_5rfymqghjfrXjny",0.48790318746478917,-0.39691337638388724,0.035691574,0.41405264,0.64735353,0.76023656
"R_7FafAnKGIIs0khL",0.5330939154749631,-0.37914136981168445,0.10653123,0.77718806,0.65907204,0.52614826
"R_5VpRpi9yIsZK6LT",0.5489339777363996,-0.28803439336484565,0.08083374,0.83934325,0.8573484,0.85912514
"R_5KuN2ACXAjemErN",0.5431087885701743,-0.4037792748232473,0.11119666,0.66024023,0.6880885,0.7712349
"R_1cOuU6ewGE8Tr3z",0.5069424578462928,-0.48573747185066857,0.23451406,0.8619384,0.86699194,0.8204856
"R_17UbO5ysoATpi6G",0.5008844675428942,-0.31427759247452647,0.09655223,0.80521244,0.7697606,0.8166469
"R_1hoT7QakApYjhBn",0.5277464721586845,-0.4377998668690189,0.048842013,0.7525774,0.7857864,0.7694938
"R_5MRuCve0K8iRRwv",0.5123828490749788,-0.4010958040606982,0.1991664,0.49966612,0.5333247,0.44173583
"R_5UYPFAPw4olUCQB",0.5748713934463472,-0.34733998145508393,0.4269174,0.51588154,0.4917461,0.20795219
"R_3DBxUEGlgCGNFMs",0.516375183762815,-0.33371742224545936,0.10913446,0.838797,0.7857864,0.63488114
"R_3P7fYH5l372E6KL",0.511420312404949,-0.3822248751773904,0.057005897,0.8453275,0.8333943,0.52433395
"R_5HStowXbpQOjG8N",0.5095237780025467,-0.39006452865849917,0.040430736,0.7632333,0.7894488,0.758506
"R_6PUfmAS9rSza2UT",0.5445429737930471,-0.39666752151523976,0.06104896,0.57667965,0.7547452,0.84210485
"R_6OAYR6um4BSnDSs",0.536427648074346,-0.38686479951418923,0.23451406,0.82849365,0.7845626,0.6257517
"R_1TGBzNbKxf6UyZr",0.5351999359013302,-0.3612133735180363,0.06500591,0.8571585,0.8425847,0.71029377
"R_3bwGm4EZ958ZOW5",0.5502507065191681,-0.42258726459071405,0.12520397,0.46600878,0.4125897,0.65334845
"R_5q5pO2V3TT0Iupb",0.5241722858805946,-0.4432540570760947,0.059727192,0.84965235,0.8545592,0.7550501
"R_1k24uatd6VX6jaw",0.5509040579567922,-0.390748914444815,0.103928015,0.9131106,0.8971984,0.74529827
"R_3a8VF4S7ON67D7X",0.5349387650971664,-0.36949805939623687,0.08479069,0.8063017,0.8087333,0.77239627
"R_34LHei7D2mW8qHv",0.5636643346846864,-0.4227396330823594,0.19789438,0.7235362,0.7483027,0.74529827
"R_32Mu7vpVe3C6j17",0.5474790989038337,-0.38422423537403266,0.24924077,0.8150053,0.81939507,0.7390203
"R_106JNXHr0LHyO12",0.5282411091355532,-0.3643961289474486,0.091913216,0.6675091,0.81111443,0.7216403
"R_38RJ7RGuzPDUhOi",0.5474429111532545,-0.3730467549109348,0.32289913,0.755567,0.7967292,0.5800675
"R_52QmDYfX7pgH1xY",0.583011506953842,-0.2864110791836804,0.031213367,0.732292,0.747006,0.67051303
"R_3xi7DBEpHq20hSp",0.5368657047520158,-0.3486734812488824,0.11109332,0.9017425,0.90312505,0.85350704
"R_6BXltNT2rVUMMoV",0.572908760408002,-0.37134899656260784,0.11347008,0.83524007,0.86699194,0.62878764
"R_71GOp601cixuYKL",0.5098864492923431,-0.37802482075185834,0.3140926,0.8695568,0.8931627,0.80632913
"R_7cjvnTc9iIYkZty",0.4987950456547971,-0.4791392726931465,0.049831573,0.8587562,0.86078155,0.5630719
"R_6xDtagZIVsDKS89",0.5966772107641267,-0.3644177591471987,0.20839658,0.8611446,0.82525903,0.6942594
"R_5PBju1ASTKYdtX9",0.5501670486699132,-0.4704349479903145,0.103494145,0.72517765,0.85595626,0.7613913
"R_1cCw2IRK193dU4k",0.5850817215539698,-0.35660814686787046,0.20973456,0.45431757,0.5453089,0.34367627
"R_1Dd5CLgNf4YMZqg",0.537128397362891,-0.2960273314882053,0.5721988,0.68207854,0.59704477,0.40670285
"R_7QgVQL0x8eMgrlY",0.5211145889946538,-0.4198946477405261,0.104361884,0.8778348,0.9488711,0.78287655
"R_1LYyCRDhWllwLOj",0.5837311941168936,-0.23885884265246282,0.43720075,0.6116243,0.2920753,0.042361762
"R_6lETKAZY9MTFgwy",0.5502103169048831,-0.3712724915617207,0.08083374,0.86536616,0.8795844,0.76891404
"R_50TpYGDKG4gppVg",0.5189142935844605,-0.4159761068120371,0.03875561,0.8954152,0.9117284,0.63488114
"R_6CCw8nWYPh2bW7S",0.5327338513118528,-0.3110273411383131,0.113263406,0.59994215,0.6480961,0.68789035
"R_3GJndzcLo4Ct56L",0.5297742307315209,-0.30753211367952443,0.10566349,0.8752631,0.8900925,0.7282416
